iter	Passed	Remaining
903	10392	3402
904	10403	3391
905	10414	3379
906	10424	3367
907	10436	3356
908	10448	3344
909	10460	3333
910	10471	3321
911	10482	3310
912	10494	3298
913	10504	3287
914	10516	3275
915	10528	3264
916	10539	3252
917	10550	3240
918	10560	3229
919	10572	3217
920	10583	3206
921	10594	3194
922	10605	3182
923	10616	3171
924	10628	3159
925	10639	3148
926	10649	3136
927	10660	3124
928	10672	3113
929	10684	3101
930	10695	3090
931	10707	3078
932	10719	3067
933	10730	3056
934	10742	3044
935	10753	3033
936	10765	3021
937	10778	3010
938	10789	2999
939	10801	2987
940	10813	2976
941	10840	2968
942	10851	2957
943	10863	2945
944	10874	2934
945	10886	2923
946	10900	2912
947	10912	2900
948	10924	2889
949	10937	2878
950	10948	2866
951	10960	2855
952	10972	2843
953	10984	2832
954	10996	2821
955	11009	2810
956	11024	2799
957	11037	2788
958	11052	2777
959	11069	2767
960	11084	2756
961	11099	2745
962	11112	2734
963	11126	2723
964	11140	2713
965	11154	2701
966	11167	2690
967	11181	2679
968	11197	2669
969	11211	2658
970	11224	2647
971	11239	2636
972	11254	2625
973	11267	2614
974	11280	2603
975	11294	2592
976	11308	2581
977	11322	2570
978	11337	2559
979	11351	2548
980	11368	2537
981	11384	2527
982	11401	2517
983	11417	2506
984	11435	2496
985	11450	2485
986	11464	2474
987	11477	2462
988	11490	2451
989	11503	2440
990	11516	2428
991	11528	2417
992	11541	2405
